项目名称,category,itemName
*农药*98%呋草酮原药,农药,98%呋草酮原药
*农药*94%叶菌唑原药,农药,94%叶菌唑原药
*农药*98%咯菌腈原药,农药,98%咯菌腈原药
*农药*乙虫腈,农药,乙虫腈
*有机化学原料*二硫磺,有机化学原料,二硫磺
*无机化学原料*工业盐（氯化钠）,无机化学原料,工业盐（氯化钠）
*研发和技术服务*专利许可费,研发和技术服务,专利许可费
乙虫腈,,乙虫腈
工业盐（氯化钠）,,工业盐（氯化钠）
*农药*98%嘧菌酯原药,农药,98%嘧菌酯原药
*其他化学制品*丁丙硫脲,其他化学制品,丁丙硫脲
300g灭红火蚁药饵剂（袋装）,,300g灭红火蚁药饵剂（袋装）
*农药*5g灭蟑净,农药,5g灭蟑净
*软饮料*农夫山泉矿泉水,软饮料,农夫山泉矿泉水
*其他化学制品*N-异丙基-N'-叔丁基硫脲,其他化学制品,N-异丙基-N'-叔丁基硫脲
*农药*3%中生菌素可湿性粉剂,农药,3%中生菌素可湿性粉剂
*农药*中生菌素母药,农药,中生菌素母药
*农药*10g灭蟑净,农药,10g灭蟑净
*有机化学原料*2，3-二氯吡啶,有机化学原料,2，3-二氯吡啶
*经营租赁*房屋租赁费,经营租赁,房屋租赁费
*有机化学原料*2-溴-5-羟基-4-甲氧基苯甲酸甲酯,有机化学原料,2-溴-5-羟基-4-甲氧基苯甲酸甲酯
红瓶-杀虫气雾剂,,红瓶-杀虫气雾剂
精装灭蟑灭蚊烟熏片,,精装灭蟑灭蚊烟熏片
10g灭蟑净,,10g灭蟑净
散装蟑螂蚂蚁药剂,,散装蟑螂蚂蚁药剂
诱虫小黄板,,诱虫小黄板
*肥料*36%甘蔗专用复混肥料,肥料,36%甘蔗专用复混肥料
特效药笔,,特效药笔
500g溴鼠灵饵剂,,500g溴鼠灵饵剂
诱虫大蓝板,,诱虫大蓝板
*农药*泰生好良,农药,泰生好良
25g溴鼠灵饵剂,,25g溴鼠灵饵剂
诱虫大黄板,,诱虫大黄板
*美容护肤品*护肤霜,美容护肤品,护肤霜
擦拭布,,擦拭布
*美容护肤品*焕采霜,美容护肤品,焕采霜
*农药*12%中生菌素母药,农药,12%中生菌素母药
*农药*10%中生菌素·戊唑醇可湿性粉剂,农药,10%中生菌素·戊唑醇可湿性粉剂
*农药*新心轮康,农药,新心轮康
溴鼠灵饵剂,,溴鼠灵饵剂
5g灭蟑胶饵,,5g灭蟑胶饵
*塑料制品*刀刃卷膜100g,塑料制品,刀刃卷膜100g
*其他化学制品*擦拭布,其他化学制品,擦拭布
*美容护肤品*防晒套装,美容护肤品,防晒套装
*美容护肤品*防晒霜,美容护肤品,防晒霜
*美容护肤品*花露水,美容护肤品,花露水
*鉴证咨询服务*技术费,鉴证咨询服务,技术费
12%中生菌素母药,,12%中生菌素母药
*农药*98%噻嗪酮原药,农药,98%噻嗪酮原药
*农药*56%二甲四氯钠盐,农药,56%二甲四氯钠盐
*农药*红瓶-杀虫气雾剂,农药,红瓶-杀虫气雾剂
10g灭蟑胶饵,,10g灭蟑胶饵
*农药*精装灭蟑灭蚊烟熏片,农药,精装灭蟑灭蚊烟熏片
*美容护肤品*护肤品（五件套）,美容护肤品,护肤品（五件套）
*农药*95%草甘膦原粉,农药,95%草甘膦原粉
*肥料*磷酸氢二铵,肥料,磷酸氢二铵
*塑料制品*20L乳白塑料桶桶盖,塑料制品,20L乳白塑料桶桶盖
*农药*97%莠灭净原药,农药,97%莠灭净原药
*化学试剂助剂*APG-0810,化学试剂助剂,APG-0810
*洗涤剂*洗衣液,洗涤剂,洗衣液
*农药*三管蟑螂蚂蚁净（黄盒）,农药,三管蟑螂蚂蚁净（黄盒）
*其他化学制品*富士防蛀片剂8064,其他化学制品,富士防蛀片剂8064
4g灭蝇王,,4g灭蝇王
万友灭蟑一扫光（15g）,,万友灭蟑一扫光（15g）
*其他化学制品*80951110209贝贝键天然祛螨包精装版,其他化学制品,80951110209贝贝键天然祛螨包精装版
*农药*6-苄氨基嘌呤原药,农药,6-苄氨基嘌呤原药
*农药*0.3%残杀威杀蟑粉,农药,0.3%残杀威杀蟑粉
*农药*4g灭蝇王,农药,4g灭蝇王
*农药*97%草甘膦原粉,农药,97%草甘膦原粉
*农药*吲哚丁酸原药,农药,吲哚丁酸原药
5ML溴敌隆,,5ML溴敌隆
*农药*粘鼠板A68,农药,粘鼠板A68
*农药*粘鼠大王,农药,粘鼠大王
5g灭蟑净,,5g灭蟑净
简装灭蟑灭蚊烟熏片,,简装灭蟑灭蚊烟熏片
百虫灵粉剂,,百虫灵粉剂
大侠,,大侠
75g白蚁药,,75g白蚁药
*经营租赁*厂房租赁费,经营租赁,厂房租赁费
*美容护肤品*护手霜,美容护肤品,护手霜
*有机化学原料*2，4一二氯一5一磺酰胺基苯甲酸,有机化学原料,2，4一二氯一5一磺酰胺基苯甲酸
*农药*噻嗪酮原药,农药,噻嗪酮原药
*印刷品*(真诚)红耕桶贴,印刷品,(真诚)红耕桶贴
30g白蚁药,,30g白蚁药
2A粘蝇好,,2A粘蝇好
*其他化学制品*L/WET-P,其他化学制品,L/WET-P
*塑料制品*6/12g*50包-透明袋\德丰通用,塑料制品,50包-透明袋\德丰通用
*塑料制品*硝磺草酮通用袋子\德丰富2014,塑料制品,硝磺草酮通用袋子\德丰富2014
*其他化学制品*锻烧高岭土,其他化学制品,锻烧高岭土
万友灭蚁一扫光（15g）,,万友灭蚁一扫光（15g）
*农药*3%中生菌素水剂,农药,3%中生菌素水剂
*农药*95%噻嗪酮原药,农药,95%噻嗪酮原药
*其他化学制品*金鸟药盘,其他化学制品,金鸟药盘
*眼镜类产品*眼镜,眼镜类产品,眼镜
*其他化学制品*金鸟蚊液1P（蛋型）,其他化学制品,金鸟蚊液1P（蛋型）
*其他化学制品*电热蚊香液器具套装,其他化学制品,电热蚊香液器具套装
*塑料制品*20L乳白塑料桶,塑料制品,20L乳白塑料桶
*化学试剂助剂*消泡剂,化学试剂助剂,消泡剂
*纸制品*刀刃通用外箱(100g*120包),纸制品,120包)
*其他化学制品*金鸡冠气雾剂,其他化学制品,金鸡冠气雾剂
